i_title,i_id,plot,images
Superman II,tt0081573,"Picking up where ""Superman: The Movie"" left off, three criminals, General Zod (Terence Stamp), Ursa, (Sarah Douglas), and Non (Jack O'Halloran) from the planet Krypton are released from the Phantom Zone by a nuclear explosion in space. They descend upon Earth where they could finally rule. Superman, meanwhile, is in love with Lois Lane (Margot Kidder), who finds out who he really is. Lex Luthor (Gene Hackman) escapes from prison and is determined to destroy Superman by joining forces with the three criminals.","['https://imdb-api.com/images/original/MV5BYzc1ZGZlYzYtNjIwZC00OWRjLTk3NzctNzRlZTU2MzczZDM0XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNGFkMTUyZjktYzQwOS00NWU5LTkwYzEtMjZhOWVmYjUzNzZmXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjRkZDA5OTMtOTk0NC00OTRhLThhOTMtMzZkODI3ZmUzMDNiXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjdmYmY2ZjEtOWI0NS00MzUxLWFhMzgtODA0MzE4ZWU4MDZkXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.5200_AL_.jpg']"
Superman,tt0078346,"Just before the destruction of the planet Krypton, scientist Jor-El sends his infant son Kal-El on a spaceship to Earth. Raised by kindly farmers Jonathan and Martha Kent, young Clark discovers the source of his superhuman powers and moves to Metropolis to fight evil. As Superman, he battles the villainous Lex Luthor, while, as novice reporter Clark Kent, he attempts to woo co-worker Lois Lane","['https://imdb-api.com/images/original/MV5BMzgyMzQwMjMtNzBkMC00NDQxLThhM2ItNDAxOWIxODk0NjMwXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMGNiMjM2ZDEtOWM0OC00MTYxLTg4NzItM2VlN2FlZWFkMWMyXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BZTZkMGJkZWQtYWY5OC00NDAwLTllN2ItZmQ1MmM5NTlmM2VmXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYmU0NTc4YTQtZWIzMi00YmE5LTg5MTctNGIxNTA0OTQ5MTQ4XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.0000_AL_.jpg']"
Dark City,tt0118929,"John Murdoch awakens alone in a strange hotel to find that he has lost his memory and is wanted for a series of brutal and bizarre murders. While trying to piece together his past, he stumbles upon a fiendish underworld controlled by a group of beings known as The Strangers who possess the ability to put people to sleep and alter the city and its inhabitants. Now Murdoch must find a way to stop them before they take control of his mind and destroy him.","['https://imdb-api.com/images/original/MV5BMjIzOTYyNDYyNF5BMl5BanBnXkFtZTcwMzM2MzMyNw@@._V1_Ratio1.4600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjU2ODA1MTAzNF5BMl5BanBnXkFtZTcwNDM2MzMyNw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI5NDI0MzgwOV5BMl5BanBnXkFtZTcwNTM2MzMyNw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQwMTQ3NzUwM15BMl5BanBnXkFtZTcwNjM2MzMyNw@@._V1_Ratio1.5000_AL_.jpg']"
Jumanji: Welcome to the Jungle,tt2283362,"In a brand-new Jumanji adventure, four high-school kids discover an old video-game console and are drawn into the game's jungle setting, literally becoming the adult avatars they chose. What they discover is that you don't just play Jumanji--you must survive it. To beat the game and return to the real world, they must go on the most dangerous adventure of their lives, discover what Alan Parrish left 20 years ago, and change the way they think about themselves --or they'll be stuck in the game forever, to be played by others without break.","['https://imdb-api.com/images/original/MV5BMjA3NDcwNDI3OF5BMl5BanBnXkFtZTgwNDY5MDkzNDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjExNTM4MzQzMF5BMl5BanBnXkFtZTgwNTY5MDkzNDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUyNjY0NDY5N15BMl5BanBnXkFtZTgwNjY5MDkzNDM@._V1_Ratio1.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTY2ODU1MTMzMF5BMl5BanBnXkFtZTgwODY5MDkzNDM@._V1_Ratio1.3600_AL_.jpg']"
Pacific Rim: Uprising,tt2557478,"It is 2035, ten years after the Battle of the Breach, in which the inter-dimensional portal created by the Precursors (through which they sent marauding Kaiju) was closed. Former Jaeger pilot Jake Pentecost - son of Battle of the Breach hero Stacker Pentecost - makes a living by stealing and selling Jaeger parts on the black market in the Los Angeles area. After he tracks part of a disabled Jaeger's power core to the secret workshop of fifteen year-old Jaeger enthusiast Amara Namani, both are arrested by the Pan-Pacific Defense Corps (PPDC) after an altercation between Amara's small, single-pilot Jaeger Scrapper and the Police Jaeger November Ajax. A holographic transmission of Jake's adoptive sister and PPDC Secretary General Mako Mori persuades him to return to PPDC as an instructor, with Amara as his recruit..","['https://imdb-api.com/images/original/MV5BMTZlYzA2YTMtM2I5Ny00NzhmLTk2N2ItMTkzNmJhNzg3MjgwXkEyXkFqcGdeQXVyMjI2ODkzODY@._V1_Ratio1.9000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BM2E2MjllZTYtMzFlMi00ZWY4LWE4ZDgtY2M2MTY5MGM1MDk4XkEyXkFqcGdeQXVyMjI2ODkzODY@._V1_Ratio2.4200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BZDY3N2M3NTQtY2Y4ZC00ZDJkLTkyMGUtOGYwNTIzYWE5OTE4XkEyXkFqcGdeQXVyMjI2ODkzODY@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMDUzMWQ0YTgtMmIwYy00OTA4LTg4NmItNGE0NmQ2ZjFkYjIyXkEyXkFqcGdeQXVyMjI2ODkzODY@._V1_Ratio2.4200_AL_.jpg']"
Replicas,tt4154916,"A daring synthetic biologist, after a car accident kills his family, will stop at nothing to bring them back, even if it means pitting himself against a government-controlled laboratory, a police task force and the physical laws of science.","['https://imdb-api.com/images/original/MV5BMTU5NTM1NjczNl5BMl5BanBnXkFtZTgwNzA5NjIxNzM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTEwNjg1MDAxNDleQTJeQWpwZ15BbWU4MDgwOTYyMTcz._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjQwMTc3NTEwMl5BMl5BanBnXkFtZTgwOTA5NjIxNzM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTYyOTIzNjQ4MV5BMl5BanBnXkFtZTgwMDE5NjIxNzM@._V1_Ratio1.5000_AL_.jpg']"
Bird Box,tt2737304,"In the wake of an unknown global terror, a mother must find the strength to flee with her children down a treacherous river in search of safety. Due to unseen deadly forces, the perilous journey must be made blindly. Directed by Emmy winner Susanne Bier, Bird Box is a thriller starring Academy Award winner Sandra Bullock, John Malkovich, Sarah Paulson, and Trevante Rhodes.","['https://imdb-api.com/images/original/MV5BMTU5OTA0NjAxOF5BMl5BanBnXkFtZTgwMTY0ODQxNzM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjM2MjUzMDE3MV5BMl5BanBnXkFtZTgwMjY0ODQxNzM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOTcyNzAxNjg5OF5BMl5BanBnXkFtZTgwMzY0ODQxNzM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjA0OTU5MzkyNF5BMl5BanBnXkFtZTgwNDY0ODQxNzM@._V1_Ratio2.0000_AL_.jpg']"
Mortal Engines,tt1571234,"A mysterious young woman, Hester Shaw, emerges as the only one who can stop a giant, predator city on wheels devouring everything in its path. Feral, and fiercely driven by the memory of her mother, Hester joins forces with Tom Natsworthy, an outcast from London, along with Anna Fang, a dangerous outlaw with a bounty on her head.","['https://imdb-api.com/images/original/MV5BNzY1MDA2OTQ0N15BMl5BanBnXkFtZTgwMTkzNjU2NTM@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU1Mzk2MjYzNV5BMl5BanBnXkFtZTgwMjkzNjU2NTM@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjIzNzYzOTkxMF5BMl5BanBnXkFtZTgwMzkzNjU2NTM@._V1_Ratio1.9000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTE0NDYxNzMwNDheQTJeQWpwZ15BbWU4MDQ5MzY1NjUz._V1_Ratio2.3800_AL_.jpg']"
Annihilation,tt2798920,"A biologist's husband disappears. She puts her name forward for an expedition into an environmental disaster zone, but does not find what she's expecting. The expedition team is made up of the biologist, an anthropologist, a psychologist, a surveyor, and a linguist.","['https://imdb-api.com/images/original/MV5BNzk0NTA1NzkwM15BMl5BanBnXkFtZTgwNDcwOTc3NDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI2Mzk1MjA2NV5BMl5BanBnXkFtZTgwNjcwOTc3NDM@._V1_Ratio1.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTA0NzUyNDA0OTleQTJeQWpwZ15BbWU4MDg3MDk3NzQz._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjM3OTE4NjU4Nl5BMl5BanBnXkFtZTgwOTcwOTc3NDM@._V1_Ratio1.5000_AL_.jpg']"
Ready Player One,tt1677720,"In the year 2045, the real world is a harsh place. The only time Wade Watts (Tye Sheridan) truly feels alive is when he escapes to the OASIS, an immersive virtual universe where most of humanity spends their days. In the OASIS, you can go anywhere, do anything, be anyone-the only limits are your own imagination. The OASIS was created by the brilliant and eccentric James Halliday (Mark Rylance), who left his immense fortune and total control of the Oasis to the winner of a three-part contest he designed to find a worthy heir. When Wade conquers the first challenge of the reality-bending treasure hunt, he and his friends-aka the High Five-are hurled into a fantastical universe of discovery and danger to save the OASIS.","['https://imdb-api.com/images/original/MV5BMTU3OTMxODYzN15BMl5BanBnXkFtZTgwODc0MjQxNTM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTgwNzE5NDE5N15BMl5BanBnXkFtZTgwOTc0MjQxNTM@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNzEwNDYwMTI1NF5BMl5BanBnXkFtZTgwMDg0MjQxNTM@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTY1NjkyMDA5OV5BMl5BanBnXkFtZTgwMjY0MjQxNTM@._V1_Ratio2.3800_AL_.jpg']"
Nausicaä of the Valley of the Wind,tt0087544,"An animated fantasy-adventure. Set one thousand years from now, the Earth is ravaged by pollution and war. In the Valley of the Wind lives Nausicaä, Princess of her people. Their land borders on a toxic jungle, filled with dangerous over-sized insects. Meanwhile, two nearby nations are bitterly engaged in a war and the Valley of the Wind is stuck in the middle.","['https://imdb-api.com/images/original/MV5BOTAxN2ZlODctOWQzMi00Mzg4LWIwNmEtOTIzMjkwNmY1OTdmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio1.7000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjFhMjBlNDgtMjk0NS00ZDQ0LWJiMGEtNjFlZjZkMmMxYWZkXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.8600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYWEzZDFhYzAtOWFlNS00YTdhLWE5ZTUtODZjNDk4YWRjOTdiXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.8600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTM1NjIxNTY4OF5BMl5BanBnXkFtZTcwNDE5MDIyNw@@._V1_Ratio1.0000_AL_.jpg']"
Final Fantasy VII: Advent Children,tt0385700,"Two years after the events in ""Final Fantasy VII"", a disease called 'Seikon-Shoukougun', or 'Geostigma', is spreading through the planet. This disease is believed to have been caused by the body fighting off foreign material that invaded the body two years earlier, at the end of ""Final Fantasy VII"". Guilt-ridden and haunted by his past, ex-SOLDIER Cloud Strife has decided to live a secluded, solitary life away from his friends while maintaining ""Strife's Delivery Service"", whose headquarters is located in Tifa Lockheart's bar, the Seventh Heaven. Tifa's bar serves as an orphanage for children stricken with Geostigma. Here, Tifa keeps an eye on Barret's six-year-old daughter, Marlene, while Barret searches the planet for an alternative energy source to the Planet's energy, Mako. One day, Cloud receives a phone call from the former Shinra, Inc. president, Rufus, asking him for protection from a mysterious man named Kadaj. Kadaj, in the meantime, along with his brothers Loz and Yazoo, are searching for their ""mother"", and seem to believe that Cloud knows where to find her. Meanwhile, Vincent Valentine has been wandering the planet gathering information on Kadaj's scheme, and Cloud and his friends must come together again to fight these new enemies.","['https://imdb-api.com/images/original/MV5BMTM1OTUyODAzMF5BMl5BanBnXkFtZTYwMDkzNjIz._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTIyNTI4MjEzOV5BMl5BanBnXkFtZTYwOTkzNjIz._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc0Nzk0OTE4N15BMl5BanBnXkFtZTYwMjA0NjIz._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTIxNzU5MTE2MV5BMl5BanBnXkFtZTYwNTA0NjIz._V1_Ratio1.0000_AL_.jpg']"
