i_title,i_id,plot,images
Star Trek: First Contact,tt0117731,"In the twenty-fourth century, the crew of the U.S.S. Enterprise NCC-1701-E has been ordered to patrol the Romulan Neutral Zone by the Federation to avoid interference with their battle against the insidious Borg. Witnessing the loss of the battle, Captain Jean-Luc Picard ignores orders and takes command of the fleet engaging the Borg. But the Borg plan to travel back into the twenty-first century through a vortex with the intention to stop Earth's first contact with an alien race (the Vulcans). Following the Borg sphere, Picard and his crew realize that they have taken over the Enterprise in order to carry out their mission. Their only chance to do away with the Borg and their seductive Queen is to make sure that Zefram Cochrane makes his famous faster-than-light travel to the stars.","['https://imdb-api.com/images/original/MV5BMTY1MzUwMjIxOF5BMl5BanBnXkFtZTgwNzM3NDI4MTI@._V1_Ratio1.3200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNzEwNTg0NjUzOV5BMl5BanBnXkFtZTcwNTc5MzE0NQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzgzODAwMjU3MV5BMl5BanBnXkFtZTcwNjc5MzE0NQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ5ODE0MDc2Nl5BMl5BanBnXkFtZTYwNjc1MDk2._V1_Ratio1.5000_AL_.jpg']"
Star Trek: The Motion Picture,tt0079945,"A massive alien spacecraft of enormous power destroys three powerful Klingon cruisers as it makes its way towards Federation space. Admiral James T. Kirk is ordered to take command of the USS Enterprise for the first time since her historic five-year mission. The Epsilon IX space station alerts the Federation, but they are also destroyed by the alien spacecraft. The only starship in range is the Enterprise, after undergoing a major overhaul in drydock orbiting Earth. Kirk rounds up the rest of his crew, and acquires some new members, and sets off to intercept the alien spacecraft. However, it has been three years since Kirk last went into deep space - is he up to the task of saving Earth?","['https://imdb-api.com/images/original/MV5BMjE5NTcyNzUyNV5BMl5BanBnXkFtZTgwODc1NjM3OTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTYxMjA4MzgxN15BMl5BanBnXkFtZTgwNTM0NjM3OTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTkwMDc3NzcyN15BMl5BanBnXkFtZTgwNDE0NjM3OTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc0Njc1Mzc5NV5BMl5BanBnXkFtZTgwNjYzNjM3OTE@._V1_Ratio1.0000_AL_.jpg']"
Star Wars: Episode VI - Return of the Jedi,tt0086190,"Luke Skywalker battles Jabba the Hutt and Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo and Princess Leia reaffirm their love, and team with Chewbacca, Lando Calrissian, the Ewoks, and droids C-3PO and R2-D2 to aid in the disruption of the Dark Side, and the defeat of the evil emperor.","['https://imdb-api.com/images/original/MV5BNmFlYjhhY2MtODMyYy00ODhlLTliYjktNjgxODM0ODMwYjA1XkEyXkFqcGdeQXVyMTE3OTQ2OTY@._V1_Ratio1.6800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDMwMzQ4OTg3M15BMl5BanBnXkFtZTgwMTg3MjQyNDM@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI4Mjg1Mjk5Ml5BMl5BanBnXkFtZTgwMjg3MjQyNDM@._V1_Ratio1.4600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTExMTAxODMyMDZeQTJeQWpwZ15BbWU4MDM4NzI0MjQz._V1_Ratio1.4600_AL_.jpg']"
Star Wars: Episode V - The Empire Strikes Back,tt0080684,"Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.","['https://imdb-api.com/images/original/MV5BMTU1Mjk0NTEzNV5BMl5BanBnXkFtZTgwNjI4NzUyNDM@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTYwNTk5OTE1OV5BMl5BanBnXkFtZTgwOTIwMzQyNDM@._V1_Ratio1.3200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjQzMjEzNjUxOF5BMl5BanBnXkFtZTgwNTEwMzQyNDM@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjAyNDU4NTIwN15BMl5BanBnXkFtZTgwNjEwMzQyNDM@._V1_Ratio1.0000_AL_.jpg']"
Rogue One: A Star Wars Story,tt3748528,"All looks lost for the Rebellion against the Empire as they learn of the existence of a new super weapon, the Death Star. Once a possible weakness in its construction is uncovered, the Rebel Alliance must set out on a desperate mission to steal the plans for the Death Star. The future of the entire galaxy now rests upon its success.","['https://imdb-api.com/images/original/MV5BMjQxMDQ4ODA4MF5BMl5BanBnXkFtZTgwMTM0NzI5MDI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU3MjU5MDA2M15BMl5BanBnXkFtZTgwMDkwNDg4MDI@._V1_Ratio1.7600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjY4NTQ4MzIwOV5BMl5BanBnXkFtZTgwOTU2MzE3MDI@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjEyOTA5NzMzMF5BMl5BanBnXkFtZTgwNTE0NTEzMDI@._V1_Ratio2.3800_AL_.jpg']"
Solo: A Star Wars Story,tt3778644,"With the emerging demand of hyperfuel and other resources, Han Solo finds himself in the middle of a heist alongside other criminals, where they meet the likes of Chewbacca and Lando Calrissian in an adventurous situation exposing the criminal underworld.","['https://imdb-api.com/images/original/MV5BMjQ2OTYxMTEwN15BMl5BanBnXkFtZTgwMTA0NTE1NTM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNTMzMTkwNDUwNl5BMl5BanBnXkFtZTgwMjA0NTE1NTM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjA3NTM3NDEyMV5BMl5BanBnXkFtZTgwNjgzNTE1NTM@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjgyMzk4NjU5MV5BMl5BanBnXkFtZTgwNzgzNTE1NTM@._V1_Ratio1.5000_AL_.jpg']"
Star Wars: Episode VII - The Force Awakens,tt2488496,"30 years after the defeat of Darth Vader and the Empire, Rey, a scavenger from the planet Jakku, finds a BB-8 droid that knows the whereabouts of the long lost Luke Skywalker. Rey, as well as a rogue stormtrooper and two smugglers, are thrown into the middle of a battle between the Resistance and the daunting legions of the First Order.","['https://imdb-api.com/images/original/MV5BMTk5NjkzMzAyN15BMl5BanBnXkFtZTgwNDM1ODAyNDM@._V1_Ratio1.7000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjAwNjIyOTk2NV5BMl5BanBnXkFtZTgwODc0ODAyNDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjQ0NzMxNjEyNF5BMl5BanBnXkFtZTgwNTE0ODAyNDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTgyODc2NDEyNl5BMl5BanBnXkFtZTgwNTAzODAyNDM@._V1_Ratio2.0000_AL_.jpg']"
Star Wars: Episode IV - A New Hope,tt0076759,"The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.","['https://imdb-api.com/images/original/MV5BMTk3MTkzNTk3Ml5BMl5BanBnXkFtZTgwOTcyMzQyNDM@._V1_Ratio1.3000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE1NzI5OTAwMl5BMl5BanBnXkFtZTgwMTgyMzQyNDM@._V1_Ratio1.2400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjQwMjIzNTk3OF5BMl5BanBnXkFtZTgwMjgyMzQyNDM@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjQ3NTM2Nzk2Ml5BMl5BanBnXkFtZTgwNDgyMzQyNDM@._V1_Ratio1.5000_AL_.jpg']"
Jupiter Ascending,tt1617661,"Jupiter Jones was born under a night sky, with signs predicting that she was destined for great things. Now grown, Jupiter dreams of the stars but wakes up to the cold reality of a job cleaning other people's houses and an endless run of bad breaks. Only when Caine Wise, a genetically engineered ex-military hunter, arrives on Earth to track her down does Jupiter begin to glimpse the fate that has been waiting for her all along - her genetic signature marks her as next in line for an extraordinary inheritance that could alter the balance of the cosmos.","['https://imdb-api.com/images/original/MV5BMTQ4Nzk1Nzk2NF5BMl5BanBnXkFtZTgwNjg3NjUyNDE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ0NzM1Mzc5MF5BMl5BanBnXkFtZTgwNDg3NjUyNDE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjA3MTA4MTYwM15BMl5BanBnXkFtZTgwNTg3NjUyNDE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk2MTQ1MTk3MV5BMl5BanBnXkFtZTgwNTAzODQyNDE@._V1_Ratio1.7800_AL_.jpg']"
Mission to Mars,tt0183523,"When a mysterious storm kills all but one crew member of the first manned mission to mars, a rescue mission is launched. Once on the red planet, the crew finds the sole survivor of the first mission who informs them that this was no ordinary storm. It was meant to protect something. But what?","['https://imdb-api.com/images/original/MV5BNzMzOTg1MjI1N15BMl5BanBnXkFtZTcwMTA2ODYzNQ@@._V1_Ratio2.2400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk0MDg3ODAyMV5BMl5BanBnXkFtZTcwMzA2ODYzNQ@@._V1_Ratio1.4800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTY5NDYxODE4N15BMl5BanBnXkFtZTcwNDA2ODYzNQ@@._V1_Ratio2.2400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk0OTk5NjQxMF5BMl5BanBnXkFtZTcwNTA2ODYzNQ@@._V1_Ratio2.2400_AL_.jpg']"
Lucy in the Sky,tt4682804,"In LUCY IN THE SKY, Natalie Portman plays Lucy Cola, a strong woman whose determination and drive as an astronaut take her to space, where she's deeply moved by the transcendent experience of seeing her life from afar. Back home as Lucy's world suddenly feels too small, her connection with reality slowly unravels.","['https://imdb-api.com/images/original/MV5BZWE3OTg2ODgtMWZhYi00MzdmLWFlODEtMmFkYjJkYmFjZDhkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BZjc1NzJkZTEtMjlhZi00MTFjLWJjNjktYTIxZTk3MDM0NTdhXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNmEzMDkxYzItMjdiNC00YzA5LWJmYWMtMzc2Mjc1MTdjNDZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDg2NWJiZjAtMDhjZC00ZjM3LWE1NzAtZTcxNWNmNGNkZmNiXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_Ratio1.4000_AL_.jpg']"
Solaris,tt0069293,"The Solaris mission has established a base on a planet that appears to host some kind of intelligence, but the details are hazy and very secret. After the mysterious demise of one of the three scientists on the base, the main character is sent out to replace him. He finds the station run-down and the two remaining scientists cold and secretive. When he also encounters his wife who has been dead for ten years, he begins to appreciate the baffling nature of the alien intelligence.","['https://imdb-api.com/images/original/MV5BMTQ5NjczMDg0N15BMl5BanBnXkFtZTgwMzIyOTIwOTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE3NzgwNDU2Ml5BMl5BanBnXkFtZTgwNDIyOTIwOTE@._V1_Ratio1.0200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTkzMzg5MzAwM15BMl5BanBnXkFtZTgwNTIyOTIwOTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjM2MTExODE5MF5BMl5BanBnXkFtZTgwODQ4MjI2MTE@._V1_Ratio1.2800_AL_.jpg']"
The Martian,tt3659388,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring ""the Martian"" home, while his crewmates concurrently plot a daring, if not impossible, rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney's safe return.","['https://imdb-api.com/images/original/MV5BMTc1NzE5NDc5MV5BMl5BanBnXkFtZTgwNjUxNjg1NjE@._V1_Ratio1.3200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjA3NzY4MzcwNl5BMl5BanBnXkFtZTgwNTUxNjg1NjE@._V1_Ratio1.6200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzA2MDIxMjE0N15BMl5BanBnXkFtZTgwNjg4MDM5NTE@._V1_Ratio1.4400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc1NTU4Nzg0MF5BMl5BanBnXkFtZTgwNzg4MDM5NTE@._V1_Ratio1.5000_AL_.jpg']"
The Wandering Earth,tt7605074,"The sun is dying out. The earth will soon be engulfed by the inflating sun. To save the human civilization, scientists draw up an escape plan that will bring the whole human race from danger. With the help of thousands of infusion powered engines, the planet earth will leave the solar system and embark on a 2,500 year journey to the orbit of a star 4.5 light years away.","['https://imdb-api.com/images/original/MV5BZDIwMTdhZDEtMGIxMi00NGNlLWFkZDctOWZhMDFjM2E5MDE0XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNTcxMDFhZWUtNmFhYS00MWU1LWFiY2EtYmUzOTE2NGMzYzAzXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BODI4OGFkOWEtYzE5My00YmFkLWFlM2UtNjcxNzQ5ZGZjY2Q1XkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYTdkYzQwZmMtNDcwZC00NDBkLWJhMDQtYmJiOTdiYjkzZDk0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_Ratio1.4600_AL_.jpg']"
Gemini Man,tt1025100,"A retiring assassin, Henry Brogan, finds himself pursued by a mysterious killer that can predict his every move. Discovering that he's being hunted by a younger clone of himself, Henry needs to find out why he's being targeted and who the creator is.","['https://imdb-api.com/images/original/MV5BMGYyNmMzZWUtZDlmYy00ODA5LWI3Y2QtZGEzYzkwYjEwMDU3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMDNkYmZmOTgtMWU4Ny00ZDIzLTlmNjktNzMxZmVhMmRhNTRmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOGI2ZDE5MjgtOTkyNy00MjcyLWE4NmUtZGQ0MzFjNTE5YTAzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc1NTZmOWEtNDlkMS00OThhLTlmMTQtOWNlODUzOTZmNGM1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio1.5000_AL_.jpg']"
