i_title,i_id,plot,images
The Purge,tt2184339,"In an America wracked by crime and overcrowded prisons, the government has sanctioned an annual 12-hour period in which any and all criminal activity-including murder-becomes legal. The police can't be called. Hospitals suspend help. It's one night when the citizenry regulates itself without thought of punishment. On this night plagued by violence and an epidemic of crime, one family wrestles with the decision of who they will become when a stranger comes knocking. When an intruder breaks into James Sandin's (Ethan Hawke) gated community during the yearly lockdown, he begins a sequence of events that threatens to tear a family apart. Now, it is up to James, his wife, Mary (Lena Headey), and their kids to make it through the night without turning into the monsters from whom they hide.","['https://imdb-api.com/images/original/MV5BMTc2NjcyMzk5MV5BMl5BanBnXkFtZTcwNTY2MTM2OQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDUxMzE5MDgxMl5BMl5BanBnXkFtZTcwNjY2MTM2OQ@@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzc1NDgzOTQ0NV5BMl5BanBnXkFtZTcwMzQwODMzOQ@@._V1_Ratio2.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTgzODM1NTUwNV5BMl5BanBnXkFtZTcwNDQwODMzOQ@@._V1_Ratio1.5000_AL_.jpg']"
The Purge: Anarchy,tt2975578,"A couple are driving home when their car breaks down just as the Purge commences. Meanwhile, a police sergeant goes out into the streets to get revenge on the man who killed his son, and a mother and daughter run from their home after assailants destroy it. The five people meet up as they attempt to survive the night in Los Angeles.","['https://imdb-api.com/images/original/MV5BMTg1MDQwMTQ1MV5BMl5BanBnXkFtZTgwMjkzMDAyMjE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjIyNDM0ODUzNV5BMl5BanBnXkFtZTgwNDkzMDAyMjE@._V1_Ratio1.3200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTAwMTgxMzMxMjBeQTJeQWpwZ15BbWU4MDAwNDAwMjIx._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjA0OTAyNDM5OV5BMl5BanBnXkFtZTgwNzgzMDAyMjE@._V1_Ratio2.3800_AL_.jpg']"
12 Monkeys,tt0114746,"An intense film about time travel, this Sci-Fi entry was directed by Terry Gilliam, a member of the comedy troupe Monty Python. The film stars Bruce Willis as James Cole, a prisoner of the state in the year 2035 who can earn parole if he agrees to travel back in time and thwart a devastating plague. The virus has wiped out most of the Earth's population and the remainder live underground because the air is poisonous. Returning to the year 1990, six years before the start of the plague, Cole is soon imprisoned in a psychiatric facility because his warnings sound like mad ravings. There he meets a scientist named Dr. Kathryn Railly (Madeleine Stowe) and Jeffrey Goines (Brad Pitt), the mad son of an eminent virologist (Christopher Plummer). Cole is returned by the authorities to the year 2035, and finally ends up at his intended destination in 1996. He kidnaps Dr. Railly in order to enlist her help in his quest. Cole discovers graffiti by an apparent animal rights group called the Army ...","['https://imdb-api.com/images/original/MV5BMTY4OTQxNDQwMF5BMl5BanBnXkFtZTgwOTE5NjE2MzI@._V1_Ratio1.6000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc1Mzg0NjA4N15BMl5BanBnXkFtZTcwNjE5Mzg0OQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTI5NjQ0NzA0M15BMl5BanBnXkFtZTYwODYwNDc2._V1_Ratio1.4800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE4OTE3ODM0N15BMl5BanBnXkFtZTYwMDcwNDc2._V1_Ratio1.5000_AL_.jpg']"
Dune,tt1160419,"A mythic and emotionally charged hero's journey, ""Dune"" tells the story of Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, who must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.","['https://imdb-api.com/images/original/MV5BMGRhM2M1ZDUtYmFkOC00MGNhLTljNmUtZTBmMGYyMGVmMGE0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOGI4ZjA5YjItNzM3My00Mjk4LWI4NzEtOGFhZWU5Y2Y1YmExXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjU0ZDExOTQtMjFlNC00Yjk2LTlhMzctZTkxNWViZTI4Njc4XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BODU1YTI0MWUtMDU3MS00NWE0LTg2MWYtZjdhMTFmMThhMzc2XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_Ratio2.3800_AL_.jpg']"
Tenet,tt6723592,"In a twilight world of international espionage, an unnamed CIA operative, known as The Protagonist, is recruited by a mysterious organization called Tenet to participate in a global assignment that unfolds beyond real time. The mission: prevent Andrei Sator, a renegade Russian oligarch with precognition abilities, from starting World War III. The Protagonist will soon master the art of ""time inversion"" as a way of countering the threat that is to come.","['https://imdb-api.com/images/original/MV5BZjI0YzQwM2ItNmIzYS00NjdiLWFlOTItZmVlMzFlMjBiYTdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMGZkZTY3ZjktNmMxMS00YTkzLTk3MjQtNGZhMDdmNjI5MjQ5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio1.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDhiODUyN2UtYTQzZi00YTE0LWJiMWEtYTVlODEyZDQwYzRhXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzVhZmRhM2ItZWJmZi00M2I5LThhYzAtZDU0ZWYwNGIxN2QwXkEyXkFqcGdeQXVyMTEyOTQ1OTk4._V1_Ratio1.0000_AL_.jpg']"
Interstellar,tt0816692,"Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life.","['https://imdb-api.com/images/original/MV5BMTc0NDQ4MjkyOF5BMl5BanBnXkFtZTgwNDE2NzUzOTE@._V1_Ratio1.3200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjA3NTEwOTMxMV5BMl5BanBnXkFtZTgwMjMyODgxMzE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ0MjQ3NjE1MF5BMl5BanBnXkFtZTgwMzMyODgxMzE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTg4MTY3MDUyNl5BMl5BanBnXkFtZTgwMDMyODgxMzE@._V1_Ratio1.5000_AL_.jpg']"
Arrival,tt2543164,"Linguistics professor Louise Banks leads an elite team of investigators when gigantic spaceships touchdown in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.","['https://imdb-api.com/images/original/MV5BMzEwNzg1ODYxM15BMl5BanBnXkFtZTgwNjgzNDQ1MDI@._V1_Ratio2.1200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjU2NzkzNjkxOV5BMl5BanBnXkFtZTgwNzgzNDQ1MDI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTg0Mzc0NDY3M15BMl5BanBnXkFtZTgwMDA0NDQ1MDI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTY4NTM0MTY2Ml5BMl5BanBnXkFtZTgwMTA0NDQ1MDI@._V1_Ratio1.7800_AL_.jpg']"
Batman Begins,tt0372784,"When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia, where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as ""Batman"". But it doesn't stay quiet for long.","['https://imdb-api.com/images/original/MV5BMjQ2NzI1NTcwOF5BMl5BanBnXkFtZTgwOTY3MTEyMjI@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTM3MDM4NjExMV5BMl5BanBnXkFtZTcwNTk4OTIyNw@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzI0NjIxODc4Ml5BMl5BanBnXkFtZTcwNjk4OTIyNw@@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzA4MzI2MjMwM15BMl5BanBnXkFtZTcwMDA5OTIyNw@@._V1_Ratio1.0000_AL_.jpg']"
The Dark Knight Rises,tt1345836,"Despite his tarnished reputation after the events of The Dark Knight (2008), in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its Police force, which is struggling to cope with Bane's plans to destroy the city.","['https://imdb-api.com/images/original/MV5BMTU0OTg2MTE2Ml5BMl5BanBnXkFtZTcwNTUwMzQxOA@@._V1_Ratio1.2400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk3MTk1NjQ2M15BMl5BanBnXkFtZTcwNjUwMzQxOA@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU0OTA0MDQ3M15BMl5BanBnXkFtZTcwOTUwMzQxOA@@._V1_Ratio1.3400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTkwOTMyOTk0MV5BMl5BanBnXkFtZTcwMTYwMzQxOA@@._V1_Ratio1.3200_AL_.jpg']"
The Time Machine,tt0054387,"On January 5, 1900, a disheveled looking H.G. Wells - George to his friends - arrives late to his own dinner party. He tells his guests of his travels in his time machine, the work about which his friends knew. They were also unbelieving, and skeptical of any practical use if it did indeed work. George knew that his machine was stationary in geographic position, but he did not account for changes in what happens over time to that location. He also learns that the machine is not impervious and he is not immune to those who do not understand him or the machine's purpose. George tells his friends that he did not find the Utopian society he so wished had developed. He mentions specifically a civilization several thousand years into the future which consists of the subterranean morlocks and the surface dwelling eloi, who on first glance lead a carefree life. Despite all these issues, love can still bloom over the spread of millennia.","['https://imdb-api.com/images/original/MV5BMjEwMDQ5NDYzMF5BMl5BanBnXkFtZTgwODUzMjMxNTM@._V1_Ratio1.3000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzY0Njk1MDA5M15BMl5BanBnXkFtZTgwNDc0OTkwNDM@._V1_Ratio1.2400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNmIzYjkxMzQtZjg3Ni00YWZlLTk0MjAtNzVjZGE3NjZiZjgxXkEyXkFqcGdeQXVyNjEyNjA4ODg@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTkxNDM5MjUzMl5BMl5BanBnXkFtZTYwOTA4MjU2._V1_Ratio1.5200_AL_.jpg']"
Men in Black,tt0119654,"Based off of the comic book. Unbeknownst to other people, there is a private agency code named MiB. This agency is some kind of extra terrestrial surveillance corporation. Then, one of the agency's finest men only going by the name ""K"" (Tommy Lee Jones) , is recruiting for a new addition to the agency. He has chosen James Edwards (Will Smith) of the N.Y.P.D. Then, one day, a flying saucer crashes into Earth. This was an alien a part of the ""Bug"" race. He takes the body of a farmer (Vincent D'Onofrio) and heads to New York. He is searching for a super energy source called ""The Galaxy"". Now, Agents J and K must stop the bug before it can escape with the galaxy.","['https://imdb-api.com/images/original/MV5BMjE3MjY4MzE5N15BMl5BanBnXkFtZTgwMTc3OTIwMjE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjIxODMwMjczNl5BMl5BanBnXkFtZTgwMjc3OTIwMjE@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTYzMTA4NjczMF5BMl5BanBnXkFtZTgwNzY3OTIwMjE@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ4NTA3NTI2MV5BMl5BanBnXkFtZTgwODY3OTIwMjE@._V1_Ratio1.5200_AL_.jpg']"
