r_title,r_id,IMDB,MTC,RottenTomatoes
2036: Nexus Dawn,tt7326248,7,,
Blade Runner: Black Out 2022,tt7428594,7.3,,
Blade Runner 2049,tt1856101,8,81,88
Blade Runner,tt0083658,8.1,84,89
Paprika,tt0851578,7.7,81,85
Ghost in the Shell,tt1219827,6.3,52,43
Transcendence,tt2209764,6.3,42,19
Chappie,tt1823672,6.8,41,32
eXistenZ,tt0120907,6.8,68,74
Robocop,tt0093870,7.6,67,90
Alita: Battle Angel,tt0437086,7.3,53,61
Paycheck,tt0338337,6.3,43,23
The Time Machine,tt0268695,6,42,28
Edge of Tomorrow,tt1631867,7.9,71,91
The Terminator,tt0088247,8,84,100
Men in Black 3,tt1409024,6.8,58,68
Looper,tt1276104,7.4,84,93
Deja Vu,tt0453467,7.1,59,56
The Butterfly Effect,tt0289879,7.6,30,33
X-Men: Days of Future Past,tt1877832,7.9,75,90
About Time,tt2194499,7.8,55,69
Ivan Vasilievich: Back to the Future,tt0070233,8.4,,88
Sleeper,tt0070707,7.2,77,100
Back to the Future Part III,tt0099088,7.4,55,80
'The Time Traveler''s Wife',tt0452694,7.1,47,38
Back to the Future Part II,tt0096874,7.8,57,66
Back to the Future,tt0088763,8.5,87,96
The Abyss,tt0096754,7.5,62,89
X-Men: Dark Phoenix,tt6565702,5.7,43,22
Aquaman,tt1477834,6.9,55,65
Alien: Covenant,tt2316204,6.4,65,65
Rampage,tt2231461,6.1,45,51
Watchmen,tt0409459,7.6,56,65
Inuyashiki,tt6340500,6.6,,100
Avengers: Endgame,tt4154796,8.4,78,94
Black Panther,tt1825683,7.3,88,96
Jurassic World: Fallen Kingdom,tt4881806,6.2,51,47
Avengers: Infinity War,tt4154756,8.4,68,85
Spider-Man: Into the Spider-Verse,tt4633694,8.4,87,97
X-Men: Days of Future Past,tt1877832,7.9,75,90
Captain America: The Winter Soldier,tt1843866,7.7,70,90
Captain America: Civil War,tt3498820,7.8,75,90
Spider-Man: Homecoming,tt2250912,7.4,73,92
Logan,tt3315342,8.1,77,94
Avengers: Age of Ultron,tt2395427,7.3,66,76
X-Men: Apocalypse,tt3385516,6.9,52,47
Doctor Strange,tt1211837,7.5,72,89
Wonder Woman,tt0451279,7.4,76,93
Superman: Unbound,tt2617456,6.6,,100
Superman III,tt0086393,5,44,30
Superman II,tt0081573,6.8,83,86
Superman,tt0078346,7.3,80,94
Dark City,tt0118929,7.6,66,76
Jumanji: Welcome to the Jungle,tt2283362,6.9,58,76
Pacific Rim: Uprising,tt2557478,5.6,44,42
Replicas,tt4154916,5.5,19,11
Bird Box,tt2737304,6.6,51,63
Mortal Engines,tt1571234,6.1,44,26
Annihilation,tt2798920,6.8,79,88
Ready Player One,tt1677720,7.4,64,72
Nausica? of the Valley of the Wind,tt0087544,8.1,86,89
Final Fantasy VII: Advent Children,tt0385700,7.2,,43
Mazinger Z vs. Devilman,tt0299017,6.7,,80
Elysium,tt1535108,6.6,61,65
Divergent,tt1840309,6.6,48,41
The Divergent Series: Insurgent,tt2908446,6.2,42,28
The Hunger Games: Mockingjay - Part 1,tt1951265,6.6,64,69
The Hunger Games: Mockingjay - Part 2,tt1951266,6.6,65,69
Maze Runner: The Death Cure,tt4500922,6.3,50,43
Maze Runner: The Scorch Trials,tt4046784,6.3,43,48
The Maze Runner,tt1790864,6.8,57,65
The Purge: Election Year,tt4094724,6,55,56
The First Purge,tt6133466,5.2,54,56
The Purge,tt2184339,5.7,41,39
The Purge: Anarchy,tt2975578,6.4,50,57
12 Monkeys,tt0114746,8,74,89
Dune,tt1160419,8.2,74,83
Tenet,tt6723592,7.4,69,70
Interstellar,tt0816692,8.6,74,72
Arrival,tt2543164,7.9,81,94
Batman Begins,tt0372784,8.2,70,84
The Dark Knight Rises,tt1345836,8.4,78,87
Ghost in the Shell,tt0113568,8,76,96
The Time Machine,tt0054387,7.6,67,76
Men in Black,tt0119654,7.3,71,92
Men in Black II,tt0120912,6.2,49,39
