title_Chinese	n_title	year	id	image
木星上行	Jupiter Ascending	2015	tt1617661	https://imdb-api.com/images/original/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_Ratio0.7273_AL_.jpg
火星任务	Mission to Mars	2000	tt0183523	https://imdb-api.com/images/original/MV5BMzhiNjVhZjUtMWYwMy00M2U5LWE5NWEtNGU4N2E5NTI3MzFlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
天空中的露西	Lucy in the Sky	2019	tt4682804	https://imdb-api.com/images/original/MV5BNmEzMDkxYzItMjdiNC00YzA5LWJmYWMtMzc2Mjc1MTdjNDZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.7273_AL_.jpg
飞向太空	Solaris	1972	tt0069293	https://imdb-api.com/images/original/MV5BZmY4Yjc0OWQtZDRhMy00ODc2LWI2NGYtMWFlODYyN2VlNDQyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.7273_AL_.jpg
火星救援	The Martian	2015	tt3659388	https://imdb-api.com/images/original/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_Ratio0.7273_AL_.jpg
流浪地球	The Wandering Earth	2019	tt7605074	https://imdb-api.com/images/original/MV5BMjE2NzZlMGItMzA4OS00ZjRiLTk3NzItMDRkOGFlZmNhYzJkXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_Ratio0.7273_AL_.jpg
双子杀手	Gemini Man	2019	tt1025100	https://imdb-api.com/images/original/MV5BZDJlYzMyZTctYzBiMi00Y2E5LTk4YzgtNzU5YzE0MDZkY2EwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_Ratio0.7273_AL_.jpg
科学怪人	Frankenstein	1992	tt0021884	https://imdb-api.com/images/original/MV5BMTQ0Njc1MjM0OF5BMl5BanBnXkFtZTgwNTY2NTUyMjE@._V1_Ratio0.7273_AL_.jpg
维克多·弗兰肯斯坦	Victor Frankenstein	2015	tt1976009	https://imdb-api.com/images/original/MV5BODA5MDc2NDI5OF5BMl5BanBnXkFtZTgwNDYzMTA2NjE@._V1_Ratio0.7273_AL_.jpg
科学怪人	Frankenstein	1931	tt0021884	https://imdb-api.com/images/original/MV5BMTQ0Njc1MjM0OF5BMl5BanBnXkFtZTgwNTY2NTUyMjE@._V1_Ratio0.7273_AL_.jpg
科学怪人	'Mary Shelley''s Frankenstein'	1994	tt0109836	https://imdb-api.com/images/original/MV5BOWNjMGQ2NTYtNWZlMS00Nzk4LWE5ZDQtNWFhZDk0ZWM3ODc4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
湮灭	Annihilation	2018	tt2798920	https://imdb-api.com/images/original/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_Ratio0.7273_AL_.jpg
云图	Cloud Atlas	2012	tt1371111	https://imdb-api.com/images/original/MV5BMTczMTgxMjc4NF5BMl5BanBnXkFtZTcwNjM5MTA2OA@@._V1_Ratio0.7273_AL_.jpg
童梦失魂夜	The City of Lost Children	1995	tt0112682	https://imdb-api.com/images/original/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
盗梦空间	Inception	2010	tt1375666	https://imdb-api.com/images/original/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_Ratio0.7273_AL_.jpg
第九区	District 9	2009	tt1136608	https://imdb-api.com/images/original/MV5BYmQ5MzFjYWMtMTMwNC00ZGU5LWI3YTQtYzhkMGExNGFlY2Q0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_Ratio0.7273_AL_.jpg
少数派报告	Minority Report	2002	tt0181689	https://imdb-api.com/images/original/MV5BZTI3YzZjZjEtMDdjOC00OWVjLTk0YmYtYzI2MGMwZjFiMzBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
智能谍变	I, Robot	2009	tt0343818	https://imdb-api.com/images/original/MV5BNmE1OWI2ZGItMDUyOS00MmU5LWE0MzUtYTQ0YzA1YTE5MGYxXkEyXkFqcGdeQXVyMDM5ODIyNw@@._V1_Ratio0.7273_AL_.jpg
决战帝国	Empire of the Wolves	2005	tt0402158	https://imdb-api.com/images/original/MV5BOTc2NmYwYzctOWM0Ni00MWRjLWE4OTAtZmI2YjViNWU5ZWIwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_Ratio0.7273_AL_.jpg
入侵脑细胞	The Cell	2000	tt0209958	https://imdb-api.com/images/original/MV5BMDY1NmVmOTItYWU0NC00OGU2LWIyNTctYTU3NTY3ZjJkOWJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
异次元骇客	The Thirteenth Floor	1999	tt0139809	https://imdb-api.com/images/original/MV5BODYxZTZlZTgtNTM5MC00N2RhLTg3MjUtNGVkMDJjMGY3YzA5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
尖端大风暴	Brainstorm	1984	tt0085271	https://imdb-api.com/images/original/MV5BZTg5OTNlOTEtMjFhZC00NWRiLWJlOWQtZTNiNDk3OGIxYmMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_Ratio0.7273_AL_.jpg
这个男人来自地球	The Man from Earth	2007	tt0756683	https://imdb-api.com/images/original/MV5BMzQ5NGQwOTUtNWJlZi00ZTFiLWI0ZTEtOGU3MTA2ZGU5OWZiXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_Ratio0.7273_AL_.jpg
机器人劫难	Android Apocalypse	2006	tt0470023	https://imdb-api.com/images/original/MV5BNTEzMzMzNDM4Nl5BMl5BanBnXkFtZTcwNjk5NzQ0MQ@@._V1_Ratio0.7273_AL_.jpg
大都会	Metropolis	1927	tt0017136	https://imdb-api.com/images/original/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.7273_AL_.jpg
铁甲钢拳	Real Steel	2011	tt0433035	https://imdb-api.com/images/original/MV5BMjEzMzEzNjg0N15BMl5BanBnXkFtZTcwMzg4NDk0Ng@@._V1_Ratio0.7273_AL_.jpg
西蒙妮	S1m0ne	2002	tt0258153	https://imdb-api.com/images/original/MV5BNjZmNjhjMGUtYmNmYi00MGYyLTk0YTItOWM4MmVmMDIwNmU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_Ratio0.7273_AL_.jpg
我，机器人	I, Robot	2004	tt0343818	https://imdb-api.com/images/original/MV5BNmE1OWI2ZGItMDUyOS00MmU5LWE0MzUtYTQ0YzA1YTE5MGYxXkEyXkFqcGdeQXVyMDM5ODIyNw@@._V1_Ratio0.7273_AL_.jpg
超能陆战队	Big Hero 6	2014	tt2245084	https://imdb-api.com/images/original/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_Ratio0.7273_AL_.jpg
阿童木	Astro Boy	2009	tt0375568	https://imdb-api.com/images/original/MV5BMTI5NTEwNTcxMl5BMl5BanBnXkFtZTcwMDEyMTE4Mg@@._V1_Ratio0.7273_AL_.jpg
机器人总动员	WALL·E	2008	tt0910970	https://imdb-api.com/images/original/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_Ratio0.7273_AL_.jpg
环太平洋	Pacific Rim	2013	tt1663662	https://imdb-api.com/images/original/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_Ratio0.7273_AL_.jpg
她	Her	2013	tt1798709	https://imdb-api.com/images/original/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_Ratio0.7273_AL_.jpg
超能查派	Chappie	2015	tt1823672	https://imdb-api.com/images/original/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_Ratio0.7273_AL_.jpg
人工智能	A.I. Artificial Intelligence	2001	tt0212720	https://imdb-api.com/images/original/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.7273_AL_.jpg
机器管家	Bicentennial Man	1999	tt0182789	https://imdb-api.com/images/original/MV5BYTU4Nzg5YmItNzE0Yy00Y2VmLWI3OTYtNTFjODEzMDE0YTI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
机械姬	Ex Machina	2014	tt0470752	https://imdb-api.com/images/original/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_Ratio0.7273_AL_.jpg
苹果核战记2	Appleseed Ex Machina	2007	tt1043842	https://imdb-api.com/images/original/MV5BMzg0ZDI4NzgtNjM0OC00ZDUyLWEyZTktNzI5MTcyNGRlMDdjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_Ratio0.7273_AL_.jpg
苹果核战记	Appleseed	2004	tt0094668	https://imdb-api.com/images/original/MV5BMmU5M2JiYWMtYWYzNC00NzE3LWExZTktOTBiOTE2MDJhMGVhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
蝙蝠侠：黑暗骑士	The Dark Knight	2008	tt0468569	https://imdb-api.com/images/original/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_Ratio0.7273_AL_.jpg
未来战警	Surrogates	2009	tt0986263	https://imdb-api.com/images/original/MV5BN2FiZTdjY2YtMzg2YS00ODEyLTg3NWQtZmVhZDg1YzE0OTJjXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_Ratio0.7273_AL_.jpg
银翼杀手：2036复制人黎明	2036: Nexus Dawn	2017	tt7326248	https://imdb-api.com/images/original/MV5BMGYzMzhmODgtMjFlYy00MzUwLTlhNzctMzkxNTQzYzY0YzFlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
银翼杀手：2022黑暗浩劫	Blade Runner: Black Out 2022	2017	tt7428594	https://imdb-api.com/images/original/MV5BZGNiNmNiMTctMDI4OS00OWYxLWE4ZWEtZjFkZjU4ZmY5YzEyXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_Ratio0.7273_AL_.jpg
银翼杀手2049	Blade Runner 2049	2017	tt1856101	https://imdb-api.com/images/original/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_Ratio0.7273_AL_.jpg
银翼杀手	Blade Runner	1982	tt0083658	https://imdb-api.com/images/original/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.7273_AL_.jpg
红辣椒	Paprika	2006	tt0851578	https://imdb-api.com/images/original/MV5BNDliMTMxOWEtODM3Yi00N2QwLTg4YTAtNTE5YzBlNTA2NjhlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_Ratio0.7273_AL_.jpg
攻壳机动队	Ghost in the Shell	1995	tt1219827	https://imdb-api.com/images/original/MV5BMzJiNTI3MjItMGJiMy00YzA1LTg2MTItZmE1ZmRhOWQ0NGY1XkEyXkFqcGdeQXVyOTk4MTM0NQ@@._V1_Ratio0.7273_AL_.jpg
攻壳机动队	Ghost in the Shell	2017	tt1219827	https://imdb-api.com/images/original/MV5BMzJiNTI3MjItMGJiMy00YzA1LTg2MTItZmE1ZmRhOWQ0NGY1XkEyXkFqcGdeQXVyOTk4MTM0NQ@@._V1_Ratio0.7273_AL_.jpg
超验骇客	Transcendence	2014	tt2209764	https://imdb-api.com/images/original/MV5BMTc1MjQ3ODAyOV5BMl5BanBnXkFtZTgwNjI1NDQ0MTE@._V1_Ratio0.7273_AL_.jpg
感官游戏	eXistenZ	1999	tt0120907	https://imdb-api.com/images/original/MV5BMmU1MTJkYWItMzM5Ny00NDgxLTgxOGEtNTkzNDdkZjkwNGI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_Ratio0.7273_AL_.jpg
机器战警	RoboCop	1987	tt0093870	https://imdb-api.com/images/original/MV5BZWVlYzU2ZjQtZmNkMi00OTc3LTkwZmYtZDVjNmY4OWFmZGJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
阿丽塔：战斗天使	Alita: Battle Angel	2019	tt0437086	https://imdb-api.com/images/original/MV5BMTQzYWYwYjctY2JhZS00NTYzLTllM2UtZWY5ZTk0NmYwYzIyXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_Ratio0.7273_AL_.jpg
记忆裂痕	Paycheck	2003	tt0338337	https://imdb-api.com/images/original/MV5BMTczMzU5NDk4MV5BMl5BanBnXkFtZTYwNDQxNzc3._V1_Ratio0.7273_AL_.jpg
时间机器	The Time Machine	2002	tt0268695	https://imdb-api.com/images/original/MV5BMTM4YTViNGMtYTYyOS00MTViLWEyYTgtNGM0OTIwMWRmYzdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
明日边缘	Edge of Tomorrow	2014	tt1631867	https://imdb-api.com/images/original/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_Ratio0.7273_AL_.jpg
终结者	The Terminator	1984	tt0088247	https://imdb-api.com/images/original/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.7273_AL_.jpg
黑衣人3	Men in Black 3	2012	tt1409024	https://imdb-api.com/images/original/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_Ratio0.7273_AL_.jpg
环形使者	Looper	2012	tt1276104	https://imdb-api.com/images/original/MV5BMTg5NTA3NTg4NF5BMl5BanBnXkFtZTcwNTA0NDYzOA@@._V1_Ratio0.7273_AL_.jpg
时空线索	Deja Vu	2006	tt0453467	https://imdb-api.com/images/original/MV5BMzEwNTAwNjEwMV5BMl5BanBnXkFtZTYwMzgzMjA3._V1_Ratio0.7273_AL_.jpg
蝴蝶效应	The Butterfly Effect	2004	tt0289879	https://imdb-api.com/images/original/MV5BODNiZmY2MWUtMjFhMy00ZmM2LTg2MjYtNWY1OTY5NGU2MjdjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
X战警：逆转未来	X-Men: Days of Future Past	2014	tt1877832	https://imdb-api.com/images/original/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
时空恋旅人	About Time	2013	tt2194499	https://imdb-api.com/images/original/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_Ratio0.7273_AL_.jpg
伊凡“雷”帝：回到未来	Ivan Vasilievich: Back to the Future	1973	tt0070233	https://imdb-api.com/images/original/MV5BYWU1NGI4ZWQtYjZiMC00NjU2LWJhNDEtMmY3NzY1ZmNiMGUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_Ratio0.7273_AL_.jpg
傻瓜大闹科学城	Sleeper	1973	tt0070707	https://imdb-api.com/images/original/MV5BMTUzMzY1MzI3Nl5BMl5BanBnXkFtZTcwOTM4OTYwNA@@._V1_Ratio0.7273_AL_.jpg
回到未来3	Back to the Future Part III	1990	tt0099088	https://imdb-api.com/images/original/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
时间旅行者的妻子	'The Time Traveler''s Wife'	2009	tt0452694	https://imdb-api.com/images/original/MV5BZWNlN2RmZDktNzllNC00NDVlLTllMzgtZGQ1YmRmZThmZjZmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_Ratio0.7273_AL_.jpg
回到未来2	Back to the Future Part II	1989	tt0096874	https://imdb-api.com/images/original/MV5BZTMxMGM5MjItNDJhNy00MWI2LWJlZWMtOWFhMjI5ZTQwMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
回到未来	Back to the Future	1985	tt0088763	https://imdb-api.com/images/original/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
深渊	The Abyss	1989	tt0096754	https://imdb-api.com/images/original/MV5BYWMzMDNlMDQtMTYyYi00OTM3LTllZDYtYThhMTk5MzNhZTRhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_Ratio0.7273_AL_.jpg
X战警：黑凤凰	X-Men: Dark Phoenix	2019	tt6565702	https://imdb-api.com/images/original/MV5BMmZmYTgwZGItNDIxMS00MmRkLWEzODQtYTllNzM0ZWE1NmQ5XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_Ratio0.7273_AL_.jpg
海王	Aquaman	2018	tt1477834	https://imdb-api.com/images/original/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_Ratio0.7273_AL_.jpg
异形：契约	Alien: Covenant	2017	tt2316204	https://imdb-api.com/images/original/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.7273_AL_.jpg
狂暴巨兽	Rampage	2018	tt2231461	https://imdb-api.com/images/original/MV5BNDA1NjA3ODU3OV5BMl5BanBnXkFtZTgwOTg3MTIwNTM@._V1_Ratio0.7273_AL_.jpg
守望者	Watchmen	2009	tt0409459	https://imdb-api.com/images/original/MV5BY2IzNGNiODgtOWYzOS00OTI0LTgxZTUtOTA5OTQ5YmI3NGUzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.7273_AL_.jpg
犬屋敷 真人版	Inuyashiki	2018	tt6340500	https://imdb-api.com/images/original/MV5BNGE0YjJiZTQtMDMwNC00YmRhLWFlM2ItNTcyZjc5ZWVjMDdkXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_Ratio0.7273_AL_.jpg
复仇者联盟4：终局之战	Avengers: Endgame	2019	tt4154796	https://imdb-api.com/images/original/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_Ratio0.7273_AL_.jpg
黑豹	Black Panther	2018	tt1825683	https://imdb-api.com/images/original/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_Ratio0.7273_AL_.jpg
侏罗纪世界2	Jurassic World: Fallen Kingdom	2018	tt4881806	https://imdb-api.com/images/original/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_Ratio0.7273_AL_.jpg
复仇者联盟3：无限战争	Avengers: Infinity War	2018	tt4154756	https://imdb-api.com/images/original/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_Ratio0.7273_AL_.jpg
蜘蛛侠：平行宇宙	Spider-Man: Into the Spider-Verse	2018	tt4633694	https://imdb-api.com/images/original/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_Ratio0.7273_AL_.jpg
美国队长2	Captain America: The Winter Soldier	2014	tt1843866	https://imdb-api.com/images/original/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_Ratio0.7273_AL_.jpg
美国队长3	Captain America: Civil War	2016	tt3498820	https://imdb-api.com/images/original/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_Ratio0.7273_AL_.jpg
蜘蛛侠：英雄归来	Spider-Man: Homecoming	2017	tt2250912	https://imdb-api.com/images/original/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_Ratio0.7273_AL_.jpg
金刚狼3：殊死一战	Logan	2017	tt3315342	https://imdb-api.com/images/original/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_Ratio0.7273_AL_.jpg
复仇者联盟2：奥创纪元	Avengers: Age of Ultron	2015	tt2395427	https://imdb-api.com/images/original/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_Ratio0.7273_AL_.jpg
X战警：天启	X-Men: Apocalypse	2016	tt3385516	https://imdb-api.com/images/original/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_Ratio0.7273_AL_.jpg
奇异博士	Doctor Strange	2016	tt1211837	https://imdb-api.com/images/original/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_Ratio0.7273_AL_.jpg
神奇女侠	Wonder Woman	2017	tt0451279	https://imdb-api.com/images/original/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.7273_AL_.jpg
超人：解放	Superman: Unbound	2013	tt2617456	https://imdb-api.com/images/original/MV5BMTkzMjczODQzMV5BMl5BanBnXkFtZTcwOTIyOTQ0OQ@@._V1_Ratio0.7273_AL_.jpg
